,subject,image,image_set,image_num,judgment,attention,caption,all
11,1,COCO_train2014_000000197251.mp4,train,197251,0,I focused on the background and the middle of the image nicely.,"I saw how the sandwich was on a plate atop the table. I could have also noticed the fries, but overall, I did a good job.","I focused on the background and the middle of the image nicely.I saw how the sandwich was on a plate atop the table. I could have also noticed the fries, but overall, I did a good job."
12,1,COCO_train2014_000000238655.mp4,train,238655,1,I focused too much on the larger object instead of paying attention to the background and the foreground of the image.,I only noticed the large building among the graves in the cemetery.,I focused too much on the larger object instead of paying attention to the background and the foreground of the image.I only noticed the large building among the graves in the cemetery.
13,1,COCO_train2014_000000259375.mp4,train,259375,0,I focused equally on the middle and the background. I did a good job paying attention to the entire picture.,"I took note of the people on the beach and where they were, which is a good thing.","I focused equally on the middle and the background. I did a good job paying attention to the entire picture.I took note of the people on the beach and where they were, which is a good thing."
14,1,COCO_train2014_000000292752.mp4,train,292752,0,I fixed my attention on the middle of the image and then focused on the background surrounding the central object.,"I took notice of the boat that was on the water, then focused on where the boat was located. I noted that the boat was in the middle of the sea.","I fixed my attention on the middle of the image and then focused on the background surrounding the central object.I took notice of the boat that was on the water, then focused on where the boat was located. I noted that the boat was in the middle of the sea."
15,1,COCO_train2014_000000295647.mp4,train,295647,1,"I focused on one part of the image and didn't take notice of anything else, like the background.",I falsely stated that there was more than one giraffe in the photo when there was actually only one giraffe among other animals. The animals were also inside a zoo-like habitat.,"I focused on one part of the image and didn't take notice of anything else, like the background.I falsely stated that there was more than one giraffe in the photo when there was actually only one giraffe among other animals. The animals were also inside a zoo-like habitat."
16,1,COCO_train2014_000000318724.mp4,train,318724,1,I focused too much on the right side and could have noticed the background more.,I only saw the white bird standing in the water (not on a rock). I could have taken in the river more.,I focused too much on the right side and could have noticed the background more.I only saw the white bird standing in the water (not on a rock). I could have taken in the river more.
17,1,COCO_train2014_000000326936.mp4,train,326936,1,"I focused on the object to my right. I could have paid more attention to the background and other objects in the photo, such as those to my left.","I was too fixated on the stove. Because of this, I didn't notice other features, like the room.","I focused on the object to my right. I could have paid more attention to the background and other objects in the photo, such as those to my left.I was too fixated on the stove. Because of this, I didn't notice other features, like the room."
18,1,COCO_train2014_000000360991.mp4,train,360991,1,I did well at noticing the background but failed to notice the middle of the image.,"I described the beach and the man, but I didn't do a good job of acknowledging what the man was holding, as well as the woman to his right.","I did well at noticing the background but failed to notice the middle of the image.I described the beach and the man, but I didn't do a good job of acknowledging what the man was holding, as well as the woman to his right."
19,1,COCO_train2014_000000446815.mp4,train,446815,1,"I focused on the background well, but I could have focused more on the middle of the image.","I noticed the background of the horse track and the dirt, but didn't focus sufficiently on the person standing next to the horse.","I focused on the background well, but I could have focused more on the middle of the image.I noticed the background of the horse track and the dirt, but didn't focus sufficiently on the person standing next to the horse."
20,1,COCO_train2014_000000484277.mp4,train,484277,0,"I focused on different aspects of the middle object, including smaller objects.","I saw that the woman was standing in the middle, and how she was holding a cell phone in her hand.","I focused on different aspects of the middle object, including smaller objects.I saw that the woman was standing in the middle, and how she was holding a cell phone in her hand."
21,1,COCO_val2014_000000260330.mp4,val,260330,1,"I focused on the background and shifted my attention to only one object, rather than acknowledging the many other objects present.","I only focused on the refrigerator in the kitchen, so I didn't take notice of the stove or other features of the kitchen.","I focused on the background and shifted my attention to only one object, rather than acknowledging the many other objects present.I only focused on the refrigerator in the kitchen, so I didn't take notice of the stove or other features of the kitchen."
22,1,COCO_val2014_000000323739.mp4,val,323739,1,"My attention focused on elements that didn't appear in the photo. I could've paid more attention to the background, but I mainly focused on the object in the middle and on things that weren't actually there.","Unlike what I captioned, there were no people on the boat. Because of my hyper fixation, I didn't describe the sand and water behind the boat, and instead only focused on the boat itself.","My attention focused on elements that didn't appear in the photo. I could've paid more attention to the background, but I mainly focused on the object in the middle and on things that weren't actually there.Unlike what I captioned, there were no people on the boat. Because of my hyper fixation, I didn't describe the sand and water behind the boat, and instead only focused on the boat itself."
23,1,COCO_val2014_000000383958.mp4,val,383958,0,"I saw the middle and the background of the photo, as well as the frontmost part of the image.","I noticed everything in the image, including the girl smiling at the table with the pizza in front of her.","I saw the middle and the background of the photo, as well as the frontmost part of the image.I noticed everything in the image, including the girl smiling at the table with the pizza in front of her."
24,1,COCO_val2014_000000415196.mp4,val,415196,1,"I was too focused on the larger object to the left. I didn't look around, such as to the right, where other objects were.","Because I focused on the biggest object, the bed, I didn't notice other objects. There was a desk to the left of the bed that remained unnoticed.","I was too focused on the larger object to the left. I didn't look around, such as to the right, where other objects were.Because I focused on the biggest object, the bed, I didn't notice other objects. There was a desk to the left of the bed that remained unnoticed."
25,1,COCO_val2014_000000436653.mp4,val,436653,0,"I focused on the background and the middle objects, filling in the background.","I did a good job by mentioning that it was a city street, as clearly seen by the buildings. I also took note of the many cars filling the street, capturing the city's vibe.","I focused on the background and the middle objects, filling in the background.I did a good job by mentioning that it was a city street, as clearly seen by the buildings. I also took note of the many cars filling the street, capturing the city's vibe."
26,1,COCO_val2014_000000464814.mp4,val,464814,1,I did a good job with the background and the left side of the photo. I could have focused more on other aspects of the image.,"I noticed that the background was the living room and that there was a couch on the left side, but then I mentioned there was a fireplace. However, there was no fireplace in the image.","I did a good job with the background and the left side of the photo. I could have focused more on other aspects of the image.I noticed that the background was the living room and that there was a couch on the left side, but then I mentioned there was a fireplace. However, there was no fireplace in the image."
27,1,COCO_val2014_000000477903.mp4,val,477903,0,I did a good job focusing on the background and all aspects of the image.,I saw that there was a table and that there were plates of food atop it.,I did a good job focusing on the background and all aspects of the image.I saw that there was a table and that there were plates of food atop it.
28,4,COCO_test2014_000000056139.mp4,test,56139,1,My attention was immediately drawn to the middle and then to the background.,"I said a woman on a beach with a kite, implying she was flying it when she wasn't.","My attention was immediately drawn to the middle and then to the background.I said a woman on a beach with a kite, implying she was flying it when she wasn't."
29,4,COCO_test2014_000000093642.mp4,test,93642,0,My attention went to the main group and then shifted further into the background.,I said a herd of sheep grazing on grass.,My attention went to the main group and then shifted further into the background.I said a herd of sheep grazing on grass.
30,4,COCO_test2014_000000185163.mp4,test,185163,1,I was too focused on the middle.,"I said ""a cat sitting on a cat,"" but I shouldn't have mentioned the cat twice.","I was too focused on the middle.I said ""a cat sitting on a cat,"" but I shouldn't have mentioned the cat twice."
31,4,COCO_test2014_000000236232.mp4,test,236232,1,I couldn't capture the whole image in my eyesight.,"I mentioned only one woman, but there were two women splashing water at an elephant.","I couldn't capture the whole image in my eyesight.I mentioned only one woman, but there were two women splashing water at an elephant."
32,4,COCO_test2014_000000264887.mp4,test,264887,0,My attention moved from the background to the main focus.,I described a desk with a monitor and keyboard on top of it.,My attention moved from the background to the main focus.I described a desk with a monitor and keyboard on top of it.
33,4,COCO_test2014_000000446965.mp4,test,446965,1,"My eyes were drawn to the main subject, but I didn't describe the details.","I mentioned a pizza on a plate, but I could have described the pizza itself in more detail.","My eyes were drawn to the main subject, but I didn't describe the details.I mentioned a pizza on a plate, but I could have described the pizza itself in more detail."
34,4,COCO_test2014_000000513883.mp4,test,513883,0,I focused on the main subject and noticed a small detail.,I described a man standing in front of a bunch of bananas.,I focused on the main subject and noticed a small detail.I described a man standing in front of a bunch of bananas.
35,4,COCO_train2014_000000059996.mp4,train,59996,1,My attention was focused in the corner of the image.,I was focused on a banana when it was the smallest vegetable shown.,My attention was focused in the corner of the image.I was focused on a banana when it was the smallest vegetable shown.
36,4,COCO_train2014_000000064348.mp4,train,64348,0,I focused on the middle and expanded my attention to the background.,"I described a group of sheep standing in grass, which is accurate.","I focused on the middle and expanded my attention to the background.I described a group of sheep standing in grass, which is accurate."
37,4,COCO_train2014_000000066234.mp4,train,66234,0,I focused on the main subject and mentioned the background.,I said a boat sitting on the shore.,I focused on the main subject and mentioned the background.I said a boat sitting on the shore.
38,4,COCO_train2014_000000109061.mp4,train,109061,0,"My eyes were immediately drawn to the middle, and then to the background.","I saw the man, where he was, and the frisbee in his hand.","My eyes were immediately drawn to the middle, and then to the background.I saw the man, where he was, and the frisbee in his hand."
39,4,COCO_train2014_000000150197.mp4,train,150197,1,My attention was on the main subject but I didn't take the full background into account.,A man was standing in a bus that was filled with bikes.,My attention was on the main subject but I didn't take the full background into account.A man was standing in a bus that was filled with bikes.
40,4,COCO_train2014_000000150652.mp4,train,150652,1,"My attention was immediately drawn to the middle, with little attention given to the background.","I mentioned a plate of food on the table, but I could have specified that it was breakfast food or included the drinks as well.","My attention was immediately drawn to the middle, with little attention given to the background.I mentioned a plate of food on the table, but I could have specified that it was breakfast food or included the drinks as well."
41,4,COCO_train2014_000000171478.mp4,train,171478,0,My attention immediately went to the main subject.,I said a group of airplanes flying through the sky.,My attention immediately went to the main subject.I said a group of airplanes flying through the sky.
42,4,COCO_train2014_000000232275.mp4,train,232275,1,My attention kept coming back to one thing.,I mentioned the bed twice instead of moving on.,My attention kept coming back to one thing.I mentioned the bed twice instead of moving on.
43,4,COCO_train2014_000000239634.mp4,train,239634,0,"My eyes were immediately drawn to the subject, and then I added details.",I described it as a boy in a suit and tie.,"My eyes were immediately drawn to the subject, and then I added details.I described it as a boy in a suit and tie."
44,4,COCO_train2014_000000251790.mp4,train,251790,0,I focused on the background along with one of the main objects.,I started with the table and picked up the bottle of wine on top of it.,I focused on the background along with one of the main objects.I started with the table and picked up the bottle of wine on top of it.
45,4,COCO_train2014_000000396105.mp4,train,396105,0,I noticed the main subject and how they were shifting.,I mentioned a man skateboarding down the street.,I noticed the main subject and how they were shifting.I mentioned a man skateboarding down the street.
46,4,COCO_train2014_000000409512.mp4,train,409512,0,"My eyes were immediately drawn to the subject, then to the background.",I noticed the bear immediately and mentioned where it was.,"My eyes were immediately drawn to the subject, then to the background.I noticed the bear immediately and mentioned where it was."
47,4,COCO_train2014_000000464037.mp4,train,464037,0,I saw the main target and inferred what was happening based on the background.,"I said a group of people, which was the focus, walked down a street.","I saw the main target and inferred what was happening based on the background.I said a group of people, which was the focus, walked down a street."
48,4,COCO_train2014_000000482801.mp4,train,482801,1,My attention didn't focus on anything specific—it just lingered on the background.,"I described a group of people standing next to each other. It's not wrong, but it doesn't paint a very detailed image.","My attention didn't focus on anything specific—it just lingered on the background.I described a group of people standing next to each other. It's not wrong, but it doesn't paint a very detailed image."
49,4,COCO_val2014_000000001063.mp4,val,1063,0,I mentioned the main subject and the background.,I said a giraffe standing next to a wooden fence.,I mentioned the main subject and the background.I said a giraffe standing next to a wooden fence.
50,4,COCO_val2014_000000193926.mp4,val,193926,1,My attention was drawn to only one quadrant.,I focused only on the man holding the banana instead of noticing that there were four bananas in total.,My attention was drawn to only one quadrant.I focused only on the man holding the banana instead of noticing that there were four bananas in total.
51,4,COCO_val2014_000000276215.mp4,val,276215,1,My attention was good—I focused on the main subject—but I didn’t look at the details enough.,I said a man on a skateboard in the air instead of describing that he was doing tricks.,My attention was good—I focused on the main subject—but I didn’t look at the details enough.I said a man on a skateboard in the air instead of describing that he was doing tricks.
52,4,COCO_val2014_000000331196.mp4,val,331196,1,I was able to identify the objects in the image but didn't infer the action being taken.,"I described it as a woman standing on a tennis court, but it should have been more along the lines of a woman playing tennis or serving the ball.","I was able to identify the objects in the image but didn't infer the action being taken.I described it as a woman standing on a tennis court, but it should have been more along the lines of a woman playing tennis or serving the ball."
53,4,COCO_val2014_000000475586.mp4,val,475586,0,"My eyes were immediately drawn to the main subject, and I gleamed information from the background.",I said it was a man wearing a suit.,"My eyes were immediately drawn to the main subject, and I gleamed information from the background.I said it was a man wearing a suit."
54,4,COCO_val2014_000000515247.mp4,val,515247,1,I only looked at the background.,"I described a group of elephants standing next to each other, but the main focus of the image was a human boy riding an elephant.","I only looked at the background.I described a group of elephants standing next to each other, but the main focus of the image was a human boy riding an elephant."
55,4,COCO_val2014_000000541744.mp4,val,541744,0,"My attention was on the subject, and I inferred what was going on based on the background.",I captioned the image as a baseball player swinging their bat at a ball.,"My attention was on the subject, and I inferred what was going on based on the background.I captioned the image as a baseball player swinging their bat at a ball."
56,5,COCO_test2014_000000000173.mp4,test,173,0,"I moved around, narrowing my focus on different things—the man, then the racket, then the court.","I kept moving my attention to the different parts of the photo—the man, the racket, and the court. I paid good attention to the whole image.","I moved around, narrowing my focus on different things—the man, then the racket, then the court.I kept moving my attention to the different parts of the photo—the man, the racket, and the court. I paid good attention to the whole image."
57,5,COCO_test2014_000000034963.mp4,test,34963,1,I didn't seem to pay enough attention. My focus moved around lazily; it would have been better to narrow it down and focus on the subjects.,"I noted one of the subjects and ignored the other, as well as providing little description of the green field.","I didn't seem to pay enough attention. My focus moved around lazily; it would have been better to narrow it down and focus on the subjects.I noted one of the subjects and ignored the other, as well as providing little description of the green field."
58,5,COCO_test2014_000000127551.mp4,test,127551,1,I was hyper-focused on the man and what he was sitting on. I didn't move around.,I focused narrowly on the main subject but missed describing his gestures or the background.,I was hyper-focused on the man and what he was sitting on. I didn't move around.I focused narrowly on the main subject but missed describing his gestures or the background.
59,5,COCO_test2014_000000201877.mp4,test,201877,0,I focused on the subjects and then spread out to look at the background.,"Because I focused on the subjects in the photo, I noted the two zebras and what they were doing.","I focused on the subjects and then spread out to look at the background.Because I focused on the subjects in the photo, I noted the two zebras and what they were doing."
60,5,COCO_test2014_000000267322.mp4,test,267322,1,I was focused on the center and didn't move around much. I don't think I was paying attention.,"I hyper-focused on the hydrant and ignored everything else, which led me to get wrong what was actually going on in the photo.","I was focused on the center and didn't move around much. I don't think I was paying attention.I hyper-focused on the hydrant and ignored everything else, which led me to get wrong what was actually going on in the photo."
61,5,COCO_test2014_000000398227.mp4,test,398227,1,"I was focused mostly in the center, but it seems like I wasn't paying attention. There was no group, and it was multiple trucks.","I focused on the trucks as one bus and grouped the two people far away from each other, even though they were separate. I should have paid more attention to the number of things and the background.","I was focused mostly in the center, but it seems like I wasn't paying attention. There was no group, and it was multiple trucks.I focused on the trucks as one bus and grouped the two people far away from each other, even though they were separate. I should have paid more attention to the number of things and the background."
62,5,COCO_test2014_000000520861.mp4,test,520861,1,I focused a lot on the surfboard and didn't really move around the background.,I focused too much on the board and didn't note the branches or pay attention to the fact that the setting wasn't really sandy. I ignored the branches.,I focused a lot on the surfboard and didn't really move around the background.I focused too much on the board and didn't note the branches or pay attention to the fact that the setting wasn't really sandy. I ignored the branches.
63,5,COCO_train2014_000000005376.mp4,train,5376,0,I was focused because I paid attention to the point of the picture.,"Because I focused on the subject of the picture, what they were doing, and where they were doing it.","I was focused because I paid attention to the point of the picture.Because I focused on the subject of the picture, what they were doing, and where they were doing it."
64,5,COCO_train2014_000000077426.mp4,train,77426,1,I focused on the main subject too much and didn't move around enough to look at the background or other objects.,"Because I focused on the man so much, I didn't realize what he had in his hands and ignored the background.","I focused on the main subject too much and didn't move around enough to look at the background or other objects.Because I focused on the man so much, I didn't realize what he had in his hands and ignored the background."
65,5,COCO_train2014_000000110325.mp4,train,110325,1,I focused too much on the center of the photo and didn't pay attention to what was going on. I could have focused more narrowly on the relevant elements.,"I kept my attention focused on the fact that it was a bathroom, but I didn't note that the sink wasn't visible or that remodeling was taking place.","I focused too much on the center of the photo and didn't pay attention to what was going on. I could have focused more narrowly on the relevant elements.I kept my attention focused on the fact that it was a bathroom, but I didn't note that the sink wasn't visible or that remodeling was taking place."
66,5,COCO_train2014_000000125822.mp4,train,125822,1,My attention never focused much. It would have been better to narrow it down.,"I focused on the person and got the background details wrong—it is a skate park, not a street.","My attention never focused much. It would have been better to narrow it down.I focused on the person and got the background details wrong—it is a skate park, not a street."
67,5,COCO_train2014_000000148908.mp4,train,148908,0,"I kept my focus widespread, seeing the image as a whole and paying attention to the subjects.","I narrowed in on a few objects while maintaining a wide view of the whole image, describing the focus well.","I kept my focus widespread, seeing the image as a whole and paying attention to the subjects.I narrowed in on a few objects while maintaining a wide view of the whole image, describing the focus well."
68,5,COCO_train2014_000000196117.mp4,train,196117,1,I kept focused on the glass piece and didn't move much toward the edges. It would have been better to focus on different parts of the background to see what I could.,"I described the glass piece and what I thought it was, but I made up that it was on a table I couldn't see.","I kept focused on the glass piece and didn't move much toward the edges. It would have been better to focus on different parts of the background to see what I could.I described the glass piece and what I thought it was, but I made up that it was on a table I couldn't see."
69,5,COCO_train2014_000000203691.mp4,train,203691,1,I only focused on the living room and not much of the background outside the window.,"I focused on the set but not much on the setting. I ignored the sunlight and the view, which are a significant part of the photo.","I only focused on the living room and not much of the background outside the window.I focused on the set but not much on the setting. I ignored the sunlight and the view, which are a significant part of the photo."
70,5,COCO_train2014_000000212227.mp4,train,212227,1,I don't seem to have paid enough attention. It would have been better to narrowly move my attention around to see the other subjects.,"I hyper-focused on the laptop and ignored describing the woman or the mug, so not much detail was given.","I don't seem to have paid enough attention. It would have been better to narrowly move my attention around to see the other subjects.I hyper-focused on the laptop and ignored describing the woman or the mug, so not much detail was given."
71,5,COCO_train2014_000000212780.mp4,train,212780,1,My attention stayed very widespread. I could have focused more on the background.,I focused on the subject but completely missed describing the background.,My attention stayed very widespread. I could have focused more on the background.I focused on the subject but completely missed describing the background.
72,5,COCO_train2014_000000263650.mp4,train,263650,1,"I didn't seem focused. I didn't describe what was in the picture, not what the subject was.","I focused on the color of the thing I barely paid attention to, as well as the bottom background.","I didn't seem focused. I didn't describe what was in the picture, not what the subject was.I focused on the color of the thing I barely paid attention to, as well as the bottom background."
73,5,COCO_train2014_000000275612.mp4,train,275612,1,I don’t think I paid enough attention. I never focused on anything clearly and got some details wrong.,I hyper-focused on the toilet and then incorrectly stated that something was next to it. I didn’t pay attention to the background or anything else.,I don’t think I paid enough attention. I never focused on anything clearly and got some details wrong.I hyper-focused on the toilet and then incorrectly stated that something was next to it. I didn’t pay attention to the background or anything else.
74,5,COCO_train2014_000000334822.mp4,train,334822,1,I focused too much on just the bird. I ignored the water and the color of the ground.,"I hyper-focused on the bird and its color, but I didn't pay attention to the water in the background.","I focused too much on just the bird. I ignored the water and the color of the ground.I hyper-focused on the bird and its color, but I didn't pay attention to the water in the background."
75,5,COCO_train2014_000000345562.mp4,train,345562,0,"I focused on the different aspects of the photo, narrowing in on the background and the subject.","I focused on the main subject first, then moved to the background and spread my attention there.","I focused on the different aspects of the photo, narrowing in on the background and the subject.I focused on the main subject first, then moved to the background and spread my attention there."
76,5,COCO_train2014_000000408479.mp4,train,408479,1,I hyperfocused on the zebra and didn't move around to the background or other subjects.,"I focused too much on the zebra, describing them while ignoring the background. I could have given more detail about the green background or other animals.","I hyperfocused on the zebra and didn't move around to the background or other subjects.I focused too much on the zebra, describing them while ignoring the background. I could have given more detail about the green background or other animals."
77,5,COCO_val2014_000000120777.mp4,val,120777,0,"I moved my focus around and paid attention to the subject, what it was, and the background.","My attention moved around the photo, and I talked about each main thing.","I moved my focus around and paid attention to the subject, what it was, and the background.My attention moved around the photo, and I talked about each main thing."
78,5,COCO_val2014_000000129065.mp4,val,129065,1,I kept my attention in a narrow spot and didn't move around to take in the entire background.,"I focused on the people and left out details about the nightlife and the different groups of people, not just one.","I kept my attention in a narrow spot and didn't move around to take in the entire background.I focused on the people and left out details about the nightlife and the different groups of people, not just one."
79,5,COCO_val2014_000000236721.mp4,val,236721,1,"I hyper-focused on the bananas, ignoring everything else on the table. I kept going back to the bananas.","I only focused on the bananas, which weren't actually in a bunch. I didn't pay enough attention to everything else on the table.","I hyper-focused on the bananas, ignoring everything else on the table. I kept going back to the bananas.I only focused on the bananas, which weren't actually in a bunch. I didn't pay enough attention to everything else on the table."
80,5,COCO_val2014_000000236945.mp4,val,236945,0,"I paid attention to everything in the picture—the cat, the remote, and the background.",I moved my attention around the photo to focus on the different aspects.,"I paid attention to everything in the picture—the cat, the remote, and the background.I moved my attention around the photo to focus on the different aspects."
81,5,COCO_val2014_000000498350.mp4,val,498350,0,"I moved my attention from the subject to what they were doing and then to the background, accurately capturing each element.","I took the main focus and described it well, then shifted to the background.","I moved my attention from the subject to what they were doing and then to the background, accurately capturing each element.I took the main focus and described it well, then shifted to the background."
82,5,COCO_val2014_000000532009.mp4,val,532009,1,I was hyper-focused on the subject as a whole—the pizza. I should have focused more on what was on the pizza.,"I focused on the pizza as a whole instead of describing what was on the pizza, as well as what the pizza was set on top of.","I was hyper-focused on the subject as a whole—the pizza. I should have focused more on what was on the pizza.I focused on the pizza as a whole instead of describing what was on the pizza, as well as what the pizza was set on top of."
83,5,COCO_val2014_000000579325.mp4,val,579325,0,"I moved my attention around from the subject to the background, as if I were paying attention.",My attention moved from describing the object to noting where it was and giving details about the size of the plane.,"I moved my attention around from the subject to the background, as if I were paying attention.My attention moved from describing the object to noting where it was and giving details about the size of the plane."
84,6,COCO_test2014_000000057664.mp4,test,57664,1,I completely disregarded the image and described it as the complete opposite of what was shown.,"I didn't pay attention to the snowboarder and the hill. Instead, I described something that was not shown in the picture.","I completely disregarded the image and described it as the complete opposite of what was shown.I didn't pay attention to the snowboarder and the hill. Instead, I described something that was not shown in the picture."
85,6,COCO_test2014_000000102258.mp4,test,102258,1,"My attention was not present, as I described something that was not shown in the photo.","I did not describe what was in the photo accurately—I mentioned the wrong number of elephants, stating there were multiple when there was only one, and I ignored the background.","My attention was not present, as I described something that was not shown in the photo.I did not describe what was in the photo accurately—I mentioned the wrong number of elephants, stating there were multiple when there was only one, and I ignored the background."
86,6,COCO_test2014_000000243755.mp4,test,243755,1,I was distracted by the middle of the photo and did not pay attention to the background.,I captioned the photo based on what the man was wearing and did not describe the background accurately.,I was distracted by the middle of the photo and did not pay attention to the background.I captioned the photo based on what the man was wearing and did not describe the background accurately.
87,6,COCO_test2014_000000264802.mp4,test,264802,1,"My attention was focused on the main object, and I failed to mention further details because I became distracted by it.",I described the main focus and ignored the people who were in the train.,"My attention was focused on the main object, and I failed to mention further details because I became distracted by it.I described the main focus and ignored the people who were in the train."
88,6,COCO_test2014_000000281204.mp4,test,281204,1,"My attention was distracted by one part of the photo, and I only focused on that. I did not mention other parts of the photo.",I captioned the image based on one building and focused on describing its details without including information about the other parts of the image.,"My attention was distracted by one part of the photo, and I only focused on that. I did not mention other parts of the photo.I captioned the image based on one building and focused on describing its details without including information about the other parts of the image."
89,6,COCO_test2014_000000328322.mp4,test,328322,1,My attention was focused on one part of the picture and failed to recognize the surroundings and edges of the image.,"I captioned the image based on the middle of the photo and what the player was swinging at, but I ignored the background details.","My attention was focused on one part of the picture and failed to recognize the surroundings and edges of the image.I captioned the image based on the middle of the photo and what the player was swinging at, but I ignored the background details."
90,6,COCO_test2014_000000483459.mp4,test,483459,0,My attention was focused because I described the main parts of the picture and the surroundings.,I made sure to mention all of the people shown and what they were doing in the photo at the table.,My attention was focused because I described the main parts of the picture and the surroundings.I made sure to mention all of the people shown and what they were doing in the photo at the table.
91,6,COCO_train2014_000000105444.mp4,train,105444,1,I was distracted by the middle of the photo and did not describe the edges.,I captioned the image based on the main focus of the building and failed to mention the sky in the background.,I was distracted by the middle of the photo and did not describe the edges.I captioned the image based on the main focus of the building and failed to mention the sky in the background.
92,6,COCO_train2014_000000137378.mp4,train,137378,0,My attention was focused and detailed on the main area of the photo and the surroundings as well.,"I captioned the image based on the main details of the photo and the area where the couches were located, while still acknowledging the presence of other elements in the image.","My attention was focused and detailed on the main area of the photo and the surroundings as well.I captioned the image based on the main details of the photo and the area where the couches were located, while still acknowledging the presence of other elements in the image."
93,6,COCO_train2014_000000148969.mp4,train,148969,0,"My attention was focused on the main area, and I described what surrounded it.","I paid attention to the main object of the picture, which included people, and described what was in the background where they were located.","My attention was focused on the main area, and I described what surrounded it.I paid attention to the main object of the picture, which included people, and described what was in the background where they were located."
94,6,COCO_train2014_000000185474.mp4,train,185474,1,My attention was distracted because I mentioned an object that was not shown in the photo and did not complete a full description of the image.,I captioned a toilet that was not shown in the photo. I paid attention to the fact that it was a bathroom and described things that are usually found in a typical bathroom.,My attention was distracted because I mentioned an object that was not shown in the photo and did not complete a full description of the image.I captioned a toilet that was not shown in the photo. I paid attention to the fact that it was a bathroom and described things that are usually found in a typical bathroom.
95,6,COCO_train2014_000000243361.mp4,train,243361,1,"My attention was focused on one object and not on the whole picture, including the surrounding area and background.",I was focused on one laptop instead of what was surrounding it.,"My attention was focused on one object and not on the whole picture, including the surrounding area and background.I was focused on one laptop instead of what was surrounding it."
